Try the new events page,,,,,
,Open Source Conversational & Multi-modal AI Hackathon,19 October,20 October,"San Francisco, CA",https://lu.ma/6www8b0t
,Cerebral Valley Codegen Hackathon: Factory AI x Meta,19 October,20 October,"San Francisco, CA",https://partiful.com/e/q6H7PRs4PSWVnqvEEQjD?
,TEDAI For Good Hackathon 2024,19 October,20 October,"San Francisco, CA",https://tedai-sanfrancisco.ted.com/hackathon/
,zkBuildathon: Zero Knowledge Required,13 October,13 October,"San Francisco, CA",https://lu.ma/zkbuildathon
,Build with OpenAI at the Pear Hackathon,12 October,12 October,"San Francisco, CA",https://pear.vc/events/build-with-pear-vc-and-openai-hackathon-at-our-fall-hackathon/
,xAI Hackathon,12 October,12 October,"San Francisco, CA",https://docs.google.com/forms/d/e/1FAIpQLSfe-0KYwA7sAB85haAMuqEIkovZNTtlGVqwue6Y557jM8l5Yg/viewform
,AGENTIC RAG-A-THON by LlamaIndex & Pinecone,11 October,13 October,"Palo Alto, CA",https://rag-a-thon-2.devpost.com/
,Climate x AI Hackathon,10 October,10 October,"San Francisco, CA",https://lu.ma/s1hoiomk
,"Horizon SF | Founders, Inc. x Tech Week",9 October,11 October,"San Francisco, CA",https://lu.ma/horizon-sf
,AI2Web3 Bootcamp,7 October,11 October,"San Francisco, CA",https://lu.ma/72pf06p0
,Bits and Bills - AI Agents in the Financial Services Hackathon,5 October,6 October,"San Francisco, CA",https://lu.ma/126821za
,Hack on ARC Prize: Strong Compute + GPUs included,27 September,29 September,"San Francisco, CA",https://lu.ma/dvvfewxe?utm_source=cerebral
,Judgment day hackathon - building LLM judges,21 September,22 September,"San Francisco, CA",https://wandb.ai/site/resources/events/judgment-day-hackathon
,Agentic AI World Hackathon; w/ Fetch.ai,21 September,22 September,"San Francisco, CA",https://lu.ma/agenthack
,CUDA MODE,21 September,21 September,"San Francisco, CA",https://events.accel.com/cudamode
,Squire.ai Hackathon I - Null to Agent,14 September,15 September,"San Francisco, CA",https://lu.ma/grccr844
,AI My Life - Hackathon,14 September,15 September,"San Francisco, CA",https://lu.ma/gfbkd0x3
,Agents & Future of UX Hackathon,14 September,14 September,"San Francisco, CA",https://partiful.com/e/KiYuRV9IglDtL2OHr9V0
,AI Agent Hack with LabLab and MindsDB,13 September,15 September,"San Francisco, CA",https://lu.ma/t1gcb9kb
,LLM x Law Hackathon @Stanford #4,8 September,8 September,"Stanford, CA",https://partiful.com/e/YmRKP8TSn3FBhgrsYHBH
,GenAI Goes Local Hackathon,7 September,7 September,"San Francisco, CA",https://app.agihouse.org/events/gen-ai-goes-local-20240907
,AI Devtools Hackathon,7 September,8 Sepetember,"San Francisco, CA",https://lu.ma/devtools-hackathon
,Generative AI Hackathon,7 September,7 September,"San Francisco, CA",https://www.aicamp.ai/event/eventdetails/W2024090709
,Gen AI Hackathon: Compound AI Systems,6 September,6 September,"San Francisco, CA",https://lu.ma/i1x6rwe3
August,Mega Chess SF Hackathon: Train AI Chess Bots on GPUs,30 August,31 August,"San Francisco, CA",https://lu.ma/56gwityi?source=cerebralvalley
,Develop the Future – Meta & AWS Hackathon for XR & GenAI,27 August,29 August,"Palo Alto, CA",https://pages.awscloud.com/GLOBAL-event-T3-meta-and-aws-presence-platform-hackathon-2024-reg-event.html
,Open-Source Agent Hackathon by Andrew Ng & DeepLearning.AI,24 August,24 August,"San Francisco, CA",https://app.agihouse.org/events/open-source-agent-hackathon-20240824
,Democratize Intelligence: SWE-Bench Hackathon,17 August,23 August,"San Francisco, CA",https://lu.ma/eye2ec18
,NEXA AI: Super AI Agent Hackathon,10 August,10 August,Remote,https://www.nexa4ai.com/hackathon
,Segment Anything 2 Hackathon,3 August,3 August,"San Francisco, CA",https://partiful.com/e/gXVKFvgtCGuBW1ybzSSM
